number;accumulated errors;
41;0,0243902;
47;0,0425532;
55;0,0545455;
61;0,0655738;
82;0,0609756;
83;0,0722892;
94;0,0744681;
97;0,0824742;
107;0,0841121;
109;0,0917431;
110;0,1;
115;0,104348;
121;0,107438;
122;0,114754;
123;0,121951;
141;0,113475;
159;0,106918;
164;0,109756;
165;0,115152;
166;0,120482;
188;0,111702;
189;0,116402;
194;0,118557;
209;0,114833;
214;0,116822;
218;0,119266;
219;0,123288;
220;0,127273;
227;0,127753;
230;0,130435;
235;0,131915;
237;0,135021;
242;0,136364;
243;0,139918;
244;0,143443;
245;0,146939;
246;0,150407;
249;0,15261;
282;0,138298;
293;0,136519;
307;0,13355;
318;0,132075;
321;0,133956;
328;0,134146;
330;0,136364;
332;0,138554;
355;0,132394;
376;0,12766;
378;0,12963;
388;0,128866;
397;0,128463;
418;0,124402;
425;0,124706;
427;0,126464;
428;0,128505;
431;0,12993;
436;0,130734;
437;0,132723;
438;0,134703;
440;0,136364;
454;0,134361;
460;0,134783;
470;0,134043;
474;0,135021;
475;0,136842;
477;0,138365;
484;0,13843;
486;0,139918;
488;0,141393;
490;0,142857;
492;0,144309;
497;0,144869;
498;0,146586;
503;0,147117;
564;0,132979;
567;0,134039;
586;0,131399;
614;0,127036;
636;0,124214;
642;0,124611;
647;0,125193;
656;0,125;
660;0,125758;
661;0,12708;
664;0,128012;
685;0,125547;
691;0,125904;
705;0,124823;
710;0,125352;
739;0,121786;
741;0,122807;
751;0,122503;
752;0,12367;
756;0,124339;
776;0,122423;
787;0,121982;
794;0,122166;
803;0,122042;
833;0,118848;
836;0,119617;
837;0,120669;
850;0,12;
854;0,120609;
856;0,121495;
862;0,12181;
867;0,122261;
872;0,122706;
874;0,12357;
876;0,124429;
879;0,125142;
880;0,126136;
887;0,126268;
899;0,125695;
905;0,125967;
908;0,126652;
917;0,126499;
920;0,127174;
927;0,127292;
933;0,127546;
940;0,12766;
948;0,127637;
949;0,128556;
950;0,129474;
951;0,130389;
953;0,131165;
954;0,132075;
968;0,131198;
972;0,131687;
975;0,132308;
976;0,133197;
980;0,133673;
981;0,134557;
984;0,135163;
994;0,134809;
996;0,135542;
1006;0,135189;
1011;0,135509;
1128;0,12234;
1134;0,122575;
1171;0,119556;
1172;0,120307;
1177;0,120646;
1228;0,11645;
1233;0,116788;
1272;0,113994;
