number;accumulated errors;
49;0,0204082;
98;0,0204082;
103;0,0291262;
107;0,0373832;
161;0,0310559;
187;0,0320856;
196;0,0357143;
197;0,0406091;
206;0,0436893;
214;0,046729;
237;0,0464135;
239;0,0502092;
249;0,0522088;
253;0,055336;
322;0,0465839;
347;0,0461095;
374;0,0454545;
389;0,0462725;
392;0,0484694;
394;0,0507614;
412;0,0509709;
417;0,0527578;
425;0,0541176;
428;0,0560748;
443;0,0564334;
474;0,0548523;
478;0,0564854;
479;0,0584551;
491;0,0590631;
498;0,060241;
499;0,0621242;
501;0,0638723;
503;0,0656064;
506;0,0671937;
509;0,0687623;
561;0,0641711;
569;0,0650264;
644;0,0590062;
685;0,0569343;
691;0,0578871;
694;0,0590778;
725;0,057931;
729;0,0589849;
735;0,0598639;
737;0,0610583;
748;0,0614973;
753;0,062417;
765;0,0627451;
778;0,062982;
779;0,0641849;
784;0,065051;
788;0,0659898;
789;0,0671736;
797;0,0677541;
809;0,0679852;
817;0,0685435;
823;0,0692588;
824;0,0703883;
829;0,0711701;
833;0,0720288;
834;0,0731415;
837;0,0740741;
841;0,0749108;
849;0,0753828;
850;0,0764706;
853;0,077374;
856;0,078271;
857;0,0793466;
886;0,0778781;
895;0,0782123;
927;0,0765912;
929;0,0775027;
941;0,077577;
947;0,0781415;
948;0,0791139;
949;0,0800843;
956;0,0805439;
958;0,0814196;
969;0,0815273;
982;0,0814664;
996;0,0813253;
998;0,0821643;
1002;0,0828343;
1003;0,0837488;
1005;0,0845771;
1006;0,0854871;
1012;0,0859684;
1013;0,0868707;
1015;0,0876847;
1018;0,0884086;
1019;0,0893032;
1122;0,0819964;
1138;0,0817223;
1151;0,0816681;
1183;0,0803043;
1195;0,0803347;
1243;0,078037;
1249;0,0784628;
1259;0,0786338;
1288;0,0776398;
1299;0,0777521;
1315;0,0775665;
1341;0,0768084;
1361;0,0764144;
1370;0,0766423;
1375;0,0770909;
1381;0,0774801;
1382;0,0781476;
1388;0,0785303;
1425;0,077193;
1429;0,0776767;
1433;0,0781577;
1450;0,077931;
1458;0,0781893;
1469;0,0782845;
1470;0,0789116;
1471;0,0795377;
1474;0,0800543;
1496;0,0795455;
1499;0,0800534;
1506;0,0803453;
1517;0,0804219;
1523;0,0807617;
1530;0,0810458;
1541;0,0811162;
1549;0,0813428;
1556;0,0816195;
1557;0,0822094;
1558;0,0827985;
1559;0,0833868;
1561;0,0839206;
1568;0,0841837;
1571;0,0846595;
1576;0,0850254;
1578;0,0855513;
1583;0,0859128;
1594;0,0859473;
1601;0,0861961;
1609;0,0863891;
1618;0,0865266;
1627;0,0866626;
1629;0,08717;
1634;0,0875153;
1635;0,0880734;
1646;0,0880923;
1648;0,0885922;
1658;0,088661;
1666;0,0888355;
1667;0,0893821;
1668;0,0899281;
1673;0,090257;
1674;0,0908005;
1677;0,0912343;
1682;0,0915577;
1687;0,0918791;
1689;0,0923623;
1698;0,0924617;
1700;0,0929412;
1706;0,0932005;
1711;0,0935126;
1712;0,0940421;
1714;0,0945158;
1727;0,0943833;
1729;0,0948525;
1733;0,0952106;
1743;0,0952381;
1745;0,095702;
1747;0,0961649;
1753;0,0964062;
1755;0,0968661;
1759;0,0972143;
1765;0,0974504;
1769;0,0977954;
1771;0,0982496;
1772;0,0987585;
1785;0,0985994;
1790;0,0988827;
1807;0,0985058;
1815;0,0986226;
1825;0,0986301;
1831;0,0988531;
1833;0,0992908;
1839;0,0995106;
1841;0,0999457;
1854;0,0997843;
1858;0,100108;
1859;0,100592;
1869;0,100589;
1871;0,101015;
1873;0,101442;
1877;0,101758;
1879;0,102182;
1882;0,10255;
1883;0,103027;
1885;0,103448;
1894;0,103485;
1896;0,103903;
1898;0,10432;
1899;0,104792;
1912;0,104603;
1916;0,104906;
1919;0,105263;
1931;0,105127;
1935;0,105426;
1938;0,105779;
1945;0,105913;
1949;0,106208;
1955;0,106394;
1964;0,106415;
1969;0,106653;
1989;0,106083;
1992;0,106426;
1993;0,106874;
1996;0,107214;
1997;0,107661;
1999;0,108054;
2004;0,108283;
2005;0,108728;
2006;0,109172;
2010;0,109453;
2011;0,109896;
2012;0,110338;
2017;0,11056;
2023;0,110727;
2024;0,111166;
2026;0,11155;
2030;0,111823;
2036;0,111984;
2038;0,112365;
2045;0,112469;
2215;0,104289;
2244;0,103387;
2276;0,102373;
2302;0,101651;
2365;0,0993658;
2366;0,0997464;
2390;0,0991632;
2411;0,0987142;
2417;0,0988829;
2439;0,098401;
2473;0,0974525;
2486;0,0973451;
2498;0,0972778;
2505;0,0974052;
2507;0,0977264;
2518;0,0976966;
2557;0,0965976;
2569;0,0965356;
